run,best_treatment_frac,price,unit_cost,contact_cost,optimized_profit,baseline_profit,profit_increase,optimized_revenue,baseline_revenue,revenue_increase,optimized_conversions,baseline_conversions,conversions_increase,profit_increase_pct,revenue_increase_pct,conversions_increase_pct
11,0.01,194.0571880634071,135.7762652164473,4.246991618588748,21450.0850597448,13002.271374205347,8447.813685539453,99704.35279719459,71575.78363564996,28128.569161544627,513.7885063274067,368.8386106690517,144.949895658355,64.97183024728056,39.29900272518225,39.299002725182255
12,0.01,126.6827470862764,49.9179069493003,2.6789206294692853,34083.05129350053,22955.995725415545,11127.055568084987,65088.13940291058,46725.48843104104,18362.650971869538,513.7885063274067,368.8386106690517,144.949895658355,48.471239066165865,39.299002725182255,39.299002725182255
13,0.01,83.38587096038489,34.993252932862006,3.1094575140851672,18644.655905463384,11630.150971739313,7014.504933724071,42842.70208954603,30755.928794457188,12086.773295088842,513.7885063274067,368.8386106690517,144.949895658355,60.313102992119084,39.29900272518225,39.299002725182255
14,0.0,180.56651904285187,64.82973102403665,10.07579925466513,42384.55541708183,42384.55541708183,0.0,66126.17961712518,66126.17961712518,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
15,0.0,186.04771836040484,50.46265927695326,10.070987716044812,49653.291307139356,49653.291307139356,0.0,68133.47738479027,68133.47738479027,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
16,0.01,204.85758434942434,60.37218927392268,3.8157731951978073,66603.38893157164,45660.24599122147,20943.142940350168,105253.47227273147,75559.38679645974,29694.08547627172,513.7885063274067,368.8386106690517,144.949895658355,45.86734584035453,39.29900272518226,39.299002725182255
17,0.01,182.84919071549558,27.76769656023905,2.7989443284637456,74081.20058412422,51602.154187778,22479.046396346224,93945.8125808896,67441.84146546386,26503.97111542574,513.7885063274067,368.8386106690517,144.949895658355,43.56222477562846,39.299002725182255,39.299002725182255
18,0.0,61.32520855518099,38.32448240058457,8.145784850808369,8423.212437640232,8423.212437640232,0.0,22458.215274201433,22458.215274201433,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
19,0.0,186.92976815274034,111.49477403285583,5.777531418690909,27625.431320434676,27625.431320434676,0.0,68456.49730735621,68456.49730735621,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
20,0.02,162.37341527152086,25.626517041744037,1.8170958456636945,67031.11706565777,43527.9142237595,23503.202841898274,88223.30741636812,60315.57887070275,27907.728545665363,543.335910431157,371.4621557343179,171.87375469683911,53.99570197891349,46.26951953075105,46.269519530751055
21,0.01,180.3125331222849,68.99745064404343,7.0002152245336715,43191.97950914042,27056.869918718137,16135.109590422286,92642.5070650098,66506.22420304093,26136.28286196888,513.7885063274067,368.8386106690517,144.949895658355,59.63405833303689,39.29900272518226,39.299002725182255
22,0.01,197.69979433488461,92.5133816000768,6.866163107566952,40311.24366982111,25064.484119234057,15246.759550587052,101575.88203255586,72919.3174720361,28656.564560519764,513.7885063274067,368.8386106690517,144.949895658355,60.830135094968696,39.299002725182255,39.299002725182255
23,0.03,160.65728893417443,43.584348063885685,0.8544050975313031,60527.41996551231,38668.88254494242,21858.53742056989,90095.70921474813,60099.5945195019,29996.11469524623,560.7944078507558,374.08570079958406,186.7087070511717,56.52746079529214,49.910677326637696,49.91067732663769
24,0.01,138.60913006182523,30.16169938989196,5.198079402833316,45322.884614310955,29603.440853997534,15719.443760313421,71215.77789780643,51124.3989580495,20091.378939756927,513.7885063274067,368.8386106690517,144.949895658355,53.10005630034972,39.29900272518226,39.299002725182255
